X,Y,OBJECTID,Name,County,Latitude,Longitude,Status,Date_Data_Refers_To,Comments,Source,Last_Modified_Date,ID,DWR_Regional_Office_,Elevation,Connect,Disconnect,Last_Modified_By
-119.959299999842,35.6498609998732,54,Blackwells Corner,Kern,35.649861,-119.9593,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,54,SCRO,705,1986/10/19 00:00:00+00,10/18/2021,"AU, GDSS"
-116.381999999975,33.7299999998267,55,Palm Desert,Riverside,33.73,-116.382,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,55,SRO,200,1987/05/26 00:00:00+00,4/11/1994,"AU, GDSS"
-120.754227000221,37.097449999916,56,Los Banos,Merced,37.09745,-120.754227,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,56,SCRO,95,1988/06/28 00:00:00+00,Active,"AU, GDSS"
-120.433948000147,40.2897990000171,57,Buntingville,Lassen,40.289799,-120.433948,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,57,NRO,4005,1986/06/22 00:00:00+00,5/12/2021,"AU, GDSS"
-119.118999999964,34.3020000002713,58,Santa Paula,Ventura,34.302,-119.119,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,58,SRO,175,1987/07/30 00:00:00+00,2/15/1991,"AU, GDSS"
-118.439000000319,35.1140000000562,59,Tehachapi,Kern,35.114,-118.439,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,59,SCRO,4110,1986/07/29 00:00:00+00,8/23/1990,"AU, GDSS"
-117.115000000411,34.9030000001347,60,Barstow,San Bernardino,34.903,-117.115,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,60,SRO,2180,1986/11/20 00:00:00+00,2/20/1992,"AU, GDSS"
-122.153480999588,39.6917820001903,61,Orland,Glenn,39.691782,-122.153481,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,61,NRO,198,1987/05/13 00:00:00+00,5/26/2010,"AU, GDSS"
-117.228269000387,33.4866499996917,62,Temecula,Riverside,33.48665,-117.228269,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,62,SRO,1420,1986/11/25 00:00:00+00,Active,"AU, GDSS"
-122.543000000179,38.1209999997845,63,Novato,Marin,38.121,-122.543,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,63,NCRO,25,1986/07/01 00:00:00+00,1/18/2002,"AU, GDSS"
-120.079238999786,34.5831439999614,64,Santa Ynez,Santa Barbara,34.583144,-120.079239,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,64,SRO,478,1986/11/21 00:00:00+00,Active,"AU, GDSS"
-122.081999999781,37.9140000003063,65,Walnut Creek,Contra Costa,37.914,-122.082,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,65,NCRO,440,1987/07/22 00:00:00+00,3/8/2002,"AU, GDSS"
-117.135000000269,32.7329999998647,66,San Diego,San Diego,32.733,-117.135,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,66,SRO,370,1989/04/27 00:00:00+00,12/19/2001,"AU, GDSS"
-119.839000000224,34.4319999996625,67,Goleta,Santa Barbara,34.432,-119.839,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,67,SRO,30,1988/02/17 00:00:00+00,4/7/1993,"AU, GDSS"
-115.732067000063,32.7595749999341,68,Seeley,Imperial,32.759575,-115.732067,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,68,SRO,-38,1987/05/29 00:00:00+00,Active,"AU, GDSS"
-121.949999999643,37.3259999996476,69,San Jose,Santa Clara,37.326,-121.95,Inactive,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,69,SCRO,125,1987/06/08 00:00:00+00,11/22/2002,"AU, GDSS"
-121.223193999872,37.8348220001887,70,Manteca,San Joaquin,37.834822,-121.223194,Active,2023/02/08 00:00:00+00,,"CIMIS, DWR",2023/02/09 00:00:00+00,70,NCRO,38,1987/11/12 00:00:00+00,Active,"AU, GDSS"
